State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Soil_pH,Year,Yield_kg_per_acre
Rajasthan,Coffee,Clay,DAP,42,41,74,150,29.16,7.39,2012,1516
Punjab,Tea,Red Soil,NPK,119,45,118,62,30.04,5.57,2023,3049
Maharashtra,Soybean,Loamy,Compost,81,85,66,87,28.91,6.16,2023,3987
Maharashtra,Wheat,Loamy,NPK,58,7,81,259,22.41,5.86,2005,1682
Madhya Pradesh,Pulses,Red Soil,Compost,103,25,22,199,22.05,6.03,2006,1376
Haryana,Maize,Loamy,DAP,107,37,113,246,22.35,7.67,2018,3041
Rajasthan,Tea,Red Soil,Compost,109,36,90,143,25.16,5.87,2016,3348
Uttar Pradesh,Coffee,Sandy,Compost,36,11,180,184,30.34,6.23,2019,2247
Madhya Pradesh,Soybean,Clay,NPK,120,56,122,63,27.21,7.32,2015,1995
Bihar,Sugarcane,Loamy,Organic,30,64,30,236,25.83,6.09,2012,2942
Rajasthan,Wheat,Loamy,Compost,137,35,56,153,28.69,7.64,2011,3914
Karnataka,Rice,Sandy,Urea,113,6,178,97,27.63,7.33,2015,870
Odisha,Pulses,Sandy,NPK,116,90,78,177,30.63,7.05,2018,1459
Maharashtra,Sugarcane,Loamy,Compost,102,71,102,270,37.75,6.26,2021,1314
Bihar,Coffee,Black,Urea,15,25,31,287,31.29,6.65,2006,977
West Bengal,Jute,Sandy,Compost,105,103,36,57,28.39,7.87,2013,3454
Andhra Pradesh,Barley,Black,NPK,31,37,64,142,35.34,6.55,2000,1020
Haryana,Pulses,Sandy,Compost,71,49,55,211,24.84,7.85,2001,2345
Punjab,Groundnut,Red Soil,Organic,37,77,113,149,20.87,5.84,2010,3436
Karnataka,Groundnut,Sandy,NPK,120,102,99,121,26.71,6.43,2000,3337
Odisha,Cotton,Red Soil,Urea,29,36,112,247,33.97,6.41,2002,1062
Kerala,Groundnut,Black,Urea,37,67,174,271,32.01,7.11,2001,1158
West Bengal,Cotton,Red Soil,DAP,22,89,86,93,34.55,7.13,2014,1206
Maharashtra,Groundnut,Red Soil,Compost,139,12,26,81,23.16,6.1,2010,3329
Uttar Pradesh,Jute,Loamy,NPK,115,49,97,216,32.52,6.41,2003,2838
Maharashtra,Maize,Sandy,Compost,120,44,72,139,32.36,6.73,2022,4059
Andhra Pradesh,Jute,Black,Urea,11,30,12,179,33.44,6.95,2024,1223
West Bengal,Maize,Clay,DAP,103,68,38,78,30.15,6.3,2016,4325
Gujarat,Barley,Black,Urea,48,114,96,88,21.93,6.87,2015,1747
Punjab,Groundnut,Loamy,DAP,46,52,196,195,33.12,7.56,2024,4643
Karnataka,Wheat,Sandy,Compost,55,50,46,296,24.06,7.8,2014,5042
Andhra Pradesh,Groundnut,Clay,Compost,64,50,56,145,32.37,7.8,2015,1845
Andhra Pradesh,Barley,Clay,DAP,27,92,167,190,20.51,5.55,2015,2091
Odisha,Rice,Loamy,Compost,24,18,146,258,37.33,7.76,2010,3206
Maharashtra,Jute,Red Soil,Organic,21,82,115,120,24.42,7.63,2004,1630
Tamil Nadu,Tea,Sandy,Urea,105,77,123,108,36.92,6.66,2023,3059
Madhya Pradesh,Groundnut,Red Soil,DAP,35,59,92,216,18.0,7.07,2001,2438
Odisha,Pulses,Loamy,Urea,104,81,193,255,35.52,7.67,2024,2755
Gujarat,Wheat,Red Soil,Organic,50,23,13,288,27.97,7.08,2018,3126
Uttar Pradesh,Wheat,Sandy,DAP,20,19,12,296,28.39,6.61,2006,1854
Andhra Pradesh,Tea,Loamy,DAP,48,14,113,213,26.3,5.73,2000,51066
Tamil Nadu,Tea,Sandy,NPK,34,108,105,66,30.97,5.63,2006,1911
Haryana,Jute,Red Soil,Urea,15,75,44,61,18.18,6.66,2008,2504
Maharashtra,Rice,Black,Urea,17,51,116,148,29.57,7.53,2010,1336
Andhra Pradesh,Coffee,Red Soil,Urea,105,89,140,258,28.56,6.84,2009,1814
Rajasthan,Coffee,Black,Compost,69,61,106,222,24.33,5.72,2002,3040
Rajasthan,Rice,Red Soil,Organic,11,50,176,122,34.0,6.83,2004,2358
Maharashtra,Cotton,Black,Compost,120,78,99,153,21.93,7.84,2021,3315
Madhya Pradesh,Wheat,Sandy,Compost,51,21,34,160,22.08,5.98,2014,5485
Uttar Pradesh,Groundnut,Black,Compost,17,62,22,55,20.38,7.48,2021,2034
Gujarat,Barley,Clay,Urea,93,91,111,237,35.23,5.69,2000,1415
Uttar Pradesh,Pulses,Black,Compost,77,114,55,250,27.21,7.59,2015,2503
Maharashtra,Sugarcane,Clay,DAP,14,21,197,180,25.67,5.97,2002,1109
Gujarat,Coffee,Black,Organic,70,19,31,243,31.53,6.43,2000,1105
Tamil Nadu,Tea,Red Soil,Organic,81,86,132,103,21.23,5.71,2002,3532
Gujarat,Maize,Red Soil,Organic,107,48,187,245,22.08,6.2,2002,1828
Andhra Pradesh,Barley,Loamy,DAP,104,25,182,126,33.67,7.31,2003,2603
Kerala,Sugarcane,Sandy,Organic,55,72,71,68,30.06,7.77,2015,2118
Tamil Nadu,Tea,Clay,Urea,47,118,109,88,35.51,7.97,2000,2067
Haryana,Maize,Red Soil,DAP,77,7,82,242,20.58,7.68,2012,40649
Tamil Nadu,Maize,Red Soil,NPK,72,25,93,226,21.2,5.98,2010,2717
Kerala,Coffee,Clay,Urea,78,109,156,196,24.34,7.11,2004,1545
Andhra Pradesh,Rice,Sandy,Urea,124,91,22,136,23.74,6.33,2016,2331
Tamil Nadu,Barley,Loamy,Compost,99,22,32,139,26.88,7.1,2000,3202
Odisha,Soybean,Sandy,NPK,35,74,157,103,23.25,6.13,2020,2346
Gujarat,Rice,Red Soil,DAP,124,69,172,121,36.91,6.67,2022,1558
Gujarat,Sugarcane,Black,Urea,139,81,67,91,36.97,5.92,2008,3629
Bihar,Rice,Red Soil,DAP,113,68,103,286,21.98,5.57,2002,1790
Maharashtra,Maize,Clay,Organic,124,19,36,225,24.84,6.17,2012,1897
Haryana,Wheat,Black,Compost,105,119,144,74,37.14,7.84,2016,1201
Uttar Pradesh,Coffee,Clay,Urea,23,43,133,96,30.62,7.32,2001,1718
Maharashtra,Rice,Loamy,Compost,42,94,77,252,19.17,5.77,2008,1912
Gujarat,Barley,Sandy,NPK,39,102,22,280,35.59,7.56,2024,826
Karnataka,Pulses,Loamy,Compost,113,25,100,287,20.65,6.35,2018,1263
West Bengal,Sugarcane,Loamy,Compost,112,94,76,207,32.83,6.71,2008,4630
Kerala,Rice,Sandy,Compost,121,49,66,66,31.38,6.22,2021,3472
Madhya Pradesh,Rice,Black,Organic,83,82,185,279,18.86,7.56,2019,3090
Andhra Pradesh,Pulses,Loamy,NPK,35,49,131,270,26.22,5.52,2006,3638
Madhya Pradesh,Groundnut,Sandy,NPK,27,76,74,74,20.86,7.65,2019,1540
Bihar,Cotton,Clay,Compost,88,6,66,109,20.13,5.79,2004,1731
Rajasthan,Coffee,Sandy,DAP,17,15,115,57,36.41,5.88,2004,1888
Madhya Pradesh,Pulses,Red Soil,Compost,139,29,84,280,37.52,5.86,2023,1079
Tamil Nadu,Wheat,Sandy,Compost,55,72,176,231,37.4,7.72,2003,1203
Bihar,Soybean,Loamy,NPK,20,29,13,220,36.19,6.71,2002,1365
Karnataka,Maize,Black,Urea,29,27,47,251,27.66,5.8,2017,1737
Punjab,Maize,Black,Compost,72,81,57,111,37.91,5.58,2001,2005
Tamil Nadu,Wheat,Sandy,Compost,115,75,77,240,27.38,6.83,2017,1135
Madhya Pradesh,Barley,Loamy,Organic,92,24,19,227,29.41,5.61,2021,3684
Gujarat,Pulses,Sandy,Organic,107,103,112,67,30.91,6.39,2024,1270
Uttar Pradesh,Pulses,Sandy,Organic,46,44,88,209,30.47,7.21,2024,1239
Gujarat,Barley,Clay,DAP,105,25,129,93,18.32,6.81,2019,3421
Rajasthan,Cotton,Loamy,Urea,49,28,179,230,33.54,7.43,2022,1337
Gujarat,Sugarcane,Clay,Compost,124,62,164,213,20.92,6.85,2007,1400
Odisha,Cotton,Red Soil,DAP,77,107,183,293,24.76,5.87,2022,1944
Andhra Pradesh,Wheat,Loamy,DAP,61,13,193,265,29.71,7.92,2012,4399
Haryana,Sugarcane,Red Soil,Compost,135,67,66,63,24.87,6.89,2021,2731
Rajasthan,Wheat,Loamy,Compost,93,74,151,93,26.13,6.11,2014,2676
Punjab,Soybean,Black,NPK,21,53,132,121,18.9,7.37,2001,1343
Maharashtra,Sugarcane,Black,Urea,108,64,127,174,30.6,7.95,2010,2082
Karnataka,Wheat,Clay,NPK,84,114,43,283,19.19,7.06,2011,3341
Haryana,Soybean,Clay,Urea,14,88,72,108,31.33,6.61,2013,1806
Kerala,Rice,Sandy,Organic,131,87,88,64,30.2,7.21,2020,814
Punjab,Rice,Red Soil,Urea,114,25,190,173,36.99,7.84,2022,2549
Rajasthan,Coffee,Black,DAP,130,32,184,81,31.94,5.86,2012,2224
Uttar Pradesh,Barley,Sandy,Organic,54,31,16,64,25.37,7.85,2011,4165
Madhya Pradesh,Coffee,Clay,Compost,61,43,26,213,27.37,7.37,2013,2932
Andhra Pradesh,Barley,Red Soil,Compost,15,22,54,62,22.39,5.76,2003,1001
Uttar Pradesh,Pulses,Loamy,Organic,42,113,132,171,29.96,7.52,2001,2860
Karnataka,Jute,Red Soil,Urea,15,13,117,79,19.45,6.92,2014,1052
Bihar,Wheat,Loamy,DAP,122,56,193,267,22.64,7.63,2009,1829
Maharashtra,Sugarcane,Loamy,NPK,50,27,54,111,20.69,7.55,2012,1649
Maharashtra,Tea,Loamy,Compost,11,64,186,208,24.83,6.81,2021,1626
Haryana,Soybean,Sandy,DAP,122,10,123,145,28.99,6.93,2008,1999
Uttar Pradesh,Tea,Clay,Compost,19,89,56,212,20.52,7.49,2024,2354
Karnataka,Soybean,Black,Urea,42,118,34,232,35.18,6.1,2022,1763
Madhya Pradesh,Barley,Sandy,Urea,129,84,48,258,31.84,6.27,2013,6919
Gujarat,Tea,Clay,Compost,129,29,118,273,31.19,7.69,2013,1519
Rajasthan,Soybean,Red Soil,Urea,19,58,113,55,37.11,6.12,2003,1646
Haryana,Tea,Red Soil,NPK,30,101,26,163,36.16,7.79,2014,1614
Odisha,Jute,Clay,NPK,99,58,108,132,29.93,6.76,2016,2544
Madhya Pradesh,Wheat,Sandy,DAP,46,67,157,201,33.21,5.95,2021,1760
Madhya Pradesh,Wheat,Red Soil,Organic,102,111,78,263,32.98,5.98,2003,1990
Bihar,Rice,Sandy,DAP,42,16,136,115,26.22,6.79,2016,960
Gujarat,Tea,Loamy,Organic,49,27,28,281,21.29,6.38,2005,2339
Punjab,Coffee,Black,Urea,108,74,198,114,19.02,7.07,2015,1256
Kerala,Pulses,Black,DAP,98,90,89,288,20.36,7.64,2008,1534
West Bengal,Maize,Red Soil,NPK,41,50,27,139,23.75,7.77,2014,2679
Haryana,Groundnut,Red Soil,NPK,70,97,74,241,22.94,7.47,2012,733
Tamil Nadu,Sugarcane,Red Soil,Compost,91,80,192,109,30.93,5.69,2017,1712
Rajasthan,Wheat,Black,Organic,110,28,50,160,30.2,7.38,2008,1670
Maharashtra,Coffee,Clay,DAP,107,66,91,202,34.0,6.03,2014,1069
Karnataka,Jute,Black,Urea,117,89,67,148,27.7,5.7,2017,3866
Maharashtra,Tea,Red Soil,NPK,42,28,136,252,20.54,7.56,2015,1603
Karnataka,Tea,Sandy,DAP,102,101,179,105,32.04,5.6,2016,1653
Bihar,Barley,Black,Organic,39,110,68,209,19.56,6.44,2023,1987
West Bengal,Jute,Red Soil,Compost,85,100,192,206,29.88,6.84,2012,4793
West Bengal,Maize,Red Soil,Urea,72,54,165,257,22.67,5.99,2020,1059
Gujarat,Groundnut,Red Soil,Urea,49,106,143,174,34.04,7.82,2014,1398
Madhya Pradesh,Coffee,Sandy,NPK,89,105,140,126,35.17,5.77,2020,3211
Kerala,Rice,Clay,NPK,10,38,70,186,21.13,7.87,2011,86171
Rajasthan,Sugarcane,Black,Organic,56,114,104,76,26.43,7.8,2020,1841
Punjab,Barley,Black,Organic,35,78,129,294,29.42,6.42,2023,1079
Karnataka,Coffee,Clay,NPK,103,70,186,126,30.19,5.89,2021,1733
Andhra Pradesh,Soybean,Red Soil,NPK,56,89,11,222,34.59,6.08,2021,1437
Andhra Pradesh,Pulses,Sandy,Urea,137,72,112,231,22.18,6.99,2005,4224
Gujarat,Jute,Red Soil,Organic,69,7,11,293,28.01,7.18,2013,1125
Rajasthan,Cotton,Sandy,Organic,77,74,182,263,33.5,5.59,2016,4386
Punjab,Maize,Black,Compost,104,56,114,155,37.31,6.64,2011,1824
Maharashtra,Rice,Clay,NPK,55,92,113,53,36.86,7.82,2006,800
Rajasthan,Groundnut,Clay,Organic,134,97,165,288,35.17,6.41,2010,3165
Haryana,Groundnut,Loamy,NPK,14,20,181,51,24.3,5.64,2008,2735
Tamil Nadu,Soybean,Red Soil,Compost,126,48,154,195,27.21,7.53,2003,1820
Maharashtra,Tea,Sandy,Compost,64,53,137,119,23.04,7.28,2006,1962
Bihar,Maize,Red Soil,DAP,120,91,162,74,24.26,6.4,2003,2441
Uttar Pradesh,Wheat,Red Soil,NPK,124,39,103,68,24.96,5.84,2005,1882
Karnataka,Jute,Red Soil,Compost,85,60,19,267,24.85,6.92,2011,2232
Uttar Pradesh,Cotton,Black,Organic,27,48,158,123,26.11,7.82,2024,975
Gujarat,Barley,Sandy,Compost,62,23,184,141,32.68,6.28,2010,3695
Maharashtra,Coffee,Clay,Organic,10,6,172,210,30.91,6.73,2016,1334
Madhya Pradesh,Sugarcane,Clay,Urea,35,12,195,80,37.23,5.93,2000,1132
Gujarat,Cotton,Clay,NPK,122,29,48,166,31.51,6.71,2015,3151
Punjab,Jute,Black,Organic,99,114,94,121,27.68,7.64,2023,673
Haryana,Maize,Clay,Organic,137,53,133,206,27.08,7.98,2017,1006
Punjab,Maize,Black,Organic,72,49,158,54,25.44,7.79,2024,1797
West Bengal,Groundnut,Red Soil,NPK,31,117,170,97,19.63,7.21,2000,957
Kerala,Cotton,Clay,Organic,110,44,147,236,26.37,6.42,2019,1215
Rajasthan,Pulses,Red Soil,Organic,89,34,109,157,26.39,6.06,2006,1807
Uttar Pradesh,Barley,Black,NPK,47,80,124,122,32.83,6.78,2012,1541
Karnataka,Pulses,Clay,DAP,73,119,197,124,37.21,7.77,2019,1931
Gujarat,Rice,Red Soil,DAP,52,48,147,88,34.24,7.5,2008,5375
Gujarat,Soybean,Clay,Compost,17,43,24,144,35.54,6.62,2020,2070
West Bengal,Groundnut,Clay,Organic,10,79,199,102,22.97,7.94,2001,4173
Madhya Pradesh,Barley,Sandy,Urea,21,111,10,241,21.33,5.69,2018,1953
Gujarat,Coffee,Black,Compost,84,68,62,251,30.96,6.13,2008,2236
Karnataka,Coffee,Red Soil,DAP,63,25,58,138,21.72,6.96,2014,2566
Madhya Pradesh,Rice,Black,Urea,139,83,59,276,18.01,6.14,2021,2115
Bihar,Sugarcane,Black,Urea,12,30,22,256,20.61,6.01,2020,1811
Tamil Nadu,Barley,Clay,DAP,97,101,66,99,22.52,6.24,2009,3031
Odisha,Coffee,Sandy,Compost,131,9,195,59,18.4,7.88,2000,2089
Punjab,Maize,Black,Urea,38,21,77,144,26.9,6.79,2002,2644
Punjab,Barley,Sandy,DAP,32,14,196,282,28.89,5.7,2011,2144
Andhra Pradesh,Coffee,Red Soil,NPK,139,39,156,275,34.29,6.84,2005,6048
Punjab,Groundnut,Sandy,DAP,98,39,136,202,23.17,7.16,2016,993
Odisha,Jute,Red Soil,DAP,128,12,70,78,18.99,6.23,2000,1046
Madhya Pradesh,Sugarcane,Sandy,Compost,29,107,164,176,26.53,7.28,2018,2803
Karnataka,Sugarcane,Clay,Compost,97,15,172,130,34.53,5.9,2010,1807
West Bengal,Soybean,Sandy,DAP,67,16,172,204,37.16,7.66,2005,1689
Uttar Pradesh,Pulses,Loamy,DAP,40,88,176,249,29.29,7.82,2008,3635
Rajasthan,Wheat,Loamy,Urea,24,61,52,132,18.79,6.5,2015,2177
Haryana,Wheat,Clay,NPK,46,45,127,256,37.93,6.52,2020,4518
Bihar,Pulses,Loamy,NPK,101,8,123,253,34.02,5.57,2020,1627
Uttar Pradesh,Soybean,Sandy,Compost,128,113,169,243,20.12,6.76,2019,3695
Kerala,Tea,Clay,NPK,43,49,18,157,19.97,5.77,2019,2168
Punjab,Soybean,Black,Urea,47,57,110,87,36.96,6.18,2018,3045
Kerala,Pulses,Loamy,Urea,34,98,67,286,28.52,6.71,2022,5480
Gujarat,Pulses,Black,NPK,127,26,145,273,28.83,5.76,2023,2043
Kerala,Wheat,Sandy,NPK,41,20,43,180,34.1,5.66,2001,2622
Rajasthan,Pulses,Sandy,Urea,114,113,75,120,24.09,6.93,2015,625
Andhra Pradesh,Tea,Red Soil,Organic,132,24,42,181,32.03,6.53,2008,1713
West Bengal,Coffee,Clay,Organic,113,115,117,256,30.14,7.05,2024,2704
Madhya Pradesh,Coffee,Sandy,Urea,114,43,91,220,30.78,7.78,2024,2398
Punjab,Barley,Loamy,Compost,38,26,152,143,20.85,7.44,2016,1736
Bihar,Maize,Sandy,NPK,34,77,183,168,27.06,5.83,2013,28380
Rajasthan,Barley,Loamy,DAP,127,11,150,60,23.67,5.9,2001,2602
Uttar Pradesh,Groundnut,Sandy,DAP,130,72,172,149,26.86,7.96,2004,978
Odisha,Tea,Sandy,Compost,48,42,142,108,36.49,6.52,2008,2480
Kerala,Coffee,Black,Organic,83,15,178,288,18.42,6.12,2024,4848
Madhya Pradesh,Sugarcane,Red Soil,DAP,34,37,36,106,26.69,6.86,2011,30537
Andhra Pradesh,Soybean,Sandy,DAP,125,26,138,204,24.94,5.71,2014,3311
Kerala,Maize,Loamy,Urea,27,116,138,264,29.38,5.79,2022,958
Bihar,Jute,Sandy,Urea,138,94,182,189,20.91,6.16,2011,1718
Madhya Pradesh,Sugarcane,Red Soil,Organic,38,118,43,164,32.35,6.26,2008,963
